word,hint
which,questioning choice
there,in that place
their,belonging to them
about,concerning or regarding
would,past of will
these,plural of this
other,different or alternative
words,units of language
could,ability or possibility
write,to compose text
first,preceding all others
water,liquid H2O
after,following in time
where,in what place
right,correct or just
think,mentally process
three,numeric 3
years,units of time
place,a particular position
sound,vibrations that can be heard
great,of an extent, amount, or intensity
again,once more
still,not moving or making a sound
every,all without exception
small,of limited size
found,to discover
those,plural of that
never,at no time
under,below or beneath
might,expressing possibility
while,a period of time
house,a building for habitation
world,the planet Earth
below,beneath or under
asked,posed a question
going,moving or proceeding
large,of considerable size
until,up to a specific time
along,side by side
shall,expressing a future action
being,existence or living
often,frequently
earth,the planet we live on
began,to start or commence
since,in the time following
study,the act of learning
night,the time between sunset and sunrise
light,visible radiant energy
above,higher in position
paper,a thin material for writing
parts,pieces or segments
young,early in life or growth
story,a narrative of events
point,a specific detail or fact
times,instances or occasions
heard,perceived by the ear
whole,entire or complete
white,of the color of milk or snow
given,provided or bestowed
means,a method or way
music,organized sound
miles,units of distance
thing,an object or matter
today,on this day
later,at a subsequent time
using,employing for a purpose
money,currency or wealth
lines,elongated marks
order,a sequence or arrangement
group,a collection of individuals
among,in the midst of
learn,to acquire knowledge
known,recognized or familiar
space,the vast expanse beyond Earth
table,a piece of furniture
early,occurring in the near future
trees,tall perennial plants
short,of little length
hands,the terminal part of the human arm
state,a condition or situation
black,having the darkest color
shown,demonstrated or revealed
stood,past of stand
front,the foremost part
voice,the sound produced in speech
kinds,types or categories
makes,produces or creates
comes,arrives or approaches
close,near in distance or time
power,the ability to do something
lived,had life or existed
vowel,a speech sound
taken,past of take
built,constructed or made
heart,the organ that pumps blood
ready,prepared or willing
quite,completely or entirely
class,a group sharing common attributes
bring,to carry or convey
round,circular in shape
horse,a large four-legged mammal
shows,demonstrates or displays
piece,a part of a whole
green,having the color of grass or emeralds
stand,to be in an upright position
birds,avian creatures
start,to begin
river,a natural flowing watercourse
tried,made an attempt
least,minimum or smallest
field,an area of land
whose,possessive form of who
girls,female children or adolescents
leave,to go away from
added,to increase by one
color,the property of reflecting light
third,numerical position after second
hours,units of time
moved,changed position
plant,a living organism
doing,performing an action
names,words by which a person is known
forms,shapes or structures
heavy,of great weight
ideas,thoughts or concepts
cried,shed tears
check,to examine or verify
floor,the surface of a room
begin,to commence
woman,an adult human female
alone,by oneself
plane,a flat surface
spell,to form words correctly
watch,to observe
carry,to convey from one place to another
wrote,past of write
